time,count
2017-11-24-07:08:0,19935
2017-11-24-07:09:0,22694
2017-11-24-07:10:0,21361
2017-11-24-07:11:0,22355
2017-11-24-07:12:0,21129
2017-11-24-07:13:0,21257
2017-11-24-07:14:0,22541
2017-11-24-07:15:0,23809
2017-11-24-07:16:0,23776
2017-11-24-07:17:0,23730
2017-11-24-07:18:0,22089
2017-11-24-07:19:0,23284
2017-11-24-07:20:0,21360
2017-11-24-07:21:0,22113
2017-11-24-07:22:0,22619
2017-11-24-07:23:0,25414
2017-11-24-07:24:0,24141
2017-11-24-07:25:0,21608
2017-11-24-07:26:0,22229
2017-11-24-07:27:0,22033
2017-11-24-07:28:0,21367
2017-11-24-07:29:0,22013
2017-11-24-07:30:0,24927
2017-11-24-07:31:0,25850
2017-11-24-07:32:0,27755
2017-11-24-07:33:0,24525
2017-11-24-07:34:0,25280
2017-11-24-07:35:0,24675
2017-11-24-07:36:0,22504
2017-11-24-07:37:0,23970
2017-11-24-07:38:0,23645
2017-11-24-07:39:0,24750
2017-11-24-07:40:0,23432
2017-11-24-07:41:0,23831
2017-11-24-07:42:0,21244
2017-11-24-07:43:0,21429
2017-11-24-07:44:0,19823
2017-11-24-07:45:0,24011
2017-11-24-07:46:0,25521
2017-11-24-07:47:0,24623
2017-11-24-07:48:0,21934
2017-11-24-07:49:0,21823
2017-11-24-07:50:0,24205
2017-11-24-07:51:0,22735
2017-11-24-07:52:0,22225
2017-11-24-07:53:0,22147
2017-11-24-07:54:0,24200
2017-11-24-07:55:0,23027
2017-11-24-07:56:0,23217
2017-11-24-07:57:0,23313
2017-11-24-07:58:0,20449
2017-11-24-07:59:0,22243
2017-11-24-08:00:0,25098
2017-11-24-08:01:0,24343
2017-11-24-08:02:0,25653
2017-11-24-08:03:0,23067
2017-11-24-08:04:0,26531
2017-11-24-08:05:0,21952
2017-11-24-08:06:0,23234
2017-11-24-08:07:0,29663
2017-11-24-08:08:0,30212
2017-11-24-08:09:0,24999
2017-11-24-08:10:0,28803
2017-11-24-08:11:0,29102
2017-11-24-08:12:0,27658
2017-11-24-08:13:0,26528
2017-11-24-08:14:0,28608
2017-11-24-08:15:0,27859
2017-11-24-08:16:0,29299
2017-11-24-08:17:0,27960
2017-11-24-08:18:0,29823
2017-11-24-08:19:0,27017
2017-11-24-08:20:0,26184
2017-11-24-08:21:0,28325
2017-11-24-08:22:0,28012
2017-11-24-08:23:0,27455
2017-11-24-08:24:0,42065
2017-11-24-08:25:0,29434
2017-11-24-08:26:0,30952
2017-11-24-08:27:0,30683
2017-11-24-08:28:0,33562
2017-11-24-08:29:0,31997
2017-11-24-08:30:0,29033
2017-11-24-08:31:0,28846
2017-11-24-08:32:0,30617
2017-11-24-08:33:0,30380
2017-11-24-08:34:0,29431
2017-11-24-08:35:0,34048
2017-11-24-08:36:0,34720
2017-11-24-08:37:0,32433
2017-11-24-08:38:0,32363
2017-11-24-08:39:0,32014
2017-11-24-08:40:0,35421
2017-11-24-08:41:0,35262
2017-11-24-08:42:0,33988
2017-11-24-08:43:0,40579
2017-11-24-08:44:0,38683
2017-11-24-08:45:0,35792
2017-11-24-08:46:0,37284
2017-11-24-08:47:0,38553
2017-11-24-08:48:0,37388
2017-11-24-08:49:0,37783
2017-11-24-08:50:0,37409
2017-11-24-08:51:0,35259
2017-11-24-08:52:0,38124
2017-11-24-08:53:0,38915
2017-11-24-08:54:0,42963
2017-11-24-08:55:0,39852
2017-11-24-08:56:0,39577
2017-11-24-08:57:0,45247
2017-11-24-08:58:0,45399
2017-11-24-08:59:0,45117
2017-11-24-09:00:0,41699
2017-11-24-09:01:0,44057
2017-11-24-09:02:0,41857
2017-11-24-09:03:0,44212
2017-11-24-09:04:0,49534
2017-11-24-09:05:0,47756
2017-11-24-09:06:0,48715
2017-11-24-09:07:0,47766
2017-11-24-09:08:0,49286
2017-11-24-09:09:0,55508
2017-11-24-09:10:0,50106
2017-11-24-09:11:0,54944
2017-11-24-09:12:0,53024
2017-11-24-09:13:0,50470
2017-11-24-09:14:0,50449
2017-11-24-09:15:0,48850
2017-11-24-09:16:0,53640
2017-11-24-09:17:0,52604
2017-11-24-09:18:0,51942
2017-11-24-09:19:0,58125
2017-11-24-09:20:0,56086
2017-11-24-09:21:0,53623
2017-11-24-09:22:0,53451
2017-11-24-09:23:0,54528
2017-11-24-09:24:0,55762
2017-11-24-09:25:0,60410
2017-11-24-09:26:0,58718
2017-11-24-09:27:0,54837
2017-11-24-09:28:0,58073
2017-11-24-09:29:0,57251
2017-11-24-09:30:0,58576
2017-11-24-09:31:0,59608
2017-11-24-09:32:0,60935
2017-11-24-09:33:0,62163
2017-11-24-09:34:0,63988
2017-11-24-09:35:0,66101
2017-11-24-09:36:0,60770
2017-11-24-09:37:0,60659
2017-11-24-09:38:0,62338
2017-11-24-09:39:0,62415
2017-11-24-09:40:0,66740
2017-11-24-09:41:0,68189
2017-11-24-09:42:0,62517
2017-11-24-09:43:0,69003
2017-11-24-09:44:0,67991
2017-11-24-09:45:0,73009
2017-11-24-09:46:0,69646
